Image,Culm_ID,Height_cm,Diameter_cm,Biomass_kg
1.jpeg,1,182.33897120545126,5.586295551753636,170.70591619491225
1.jpeg,2,212.66230120898365,6.2773836612489315,251.4022204254282
1.jpeg,3,205.48045989235757,7.2564251497006,324.591560256654
1.jpeg,4,219.84414252560973,6.104611633875108,245.78322225953988
10.jpeg,1,244.98058713380107,7.889922583404621,457.507701995891
10.jpeg,2,211.46532765621262,9.099326775021387,525.2655857691977
11.jpeg,1,237.79874581717496,8.811373396065013,553.8829869709441
12.jpeg,1,228.02346180287833,5.931839606501284,240.7019387594836
12.jpeg,2,216.4527174594252,6.968471770744227,315.32571369764173
13.jpeg,1,172.36419159902616,6.968471770744227,251.09807984770734
13.jpeg,2,187.52585660079234,5.067979469632165,144.4947628141077
13.jpeg,3,204.68247752384354,8.581010692899916,452.1461176801451
14.jpeg,1,201.0915568655305,7.141243798118051,307.6541735556365
14.jpeg,2,246.37705627870056,7.659559880239522,433.6398126184386
14.jpeg,3,177.5510769943672,6.334974337040206,213.7638612110303
15.jpeg,1,244.18260476528704,8.235466638152268,496.8352502771785
16.jpeg,1,251.36444608191314,7.774741231822071,455.82379300951766
16.jpeg,2,190.11929929846286,5.125570145423439,149.84140013500792
17.jpeg,1,240.192692922717,11.690907185628744,984.866740440245
18.jpeg,1,211.06633647195562,8.120285286569718,417.5253046309973
18.jpeg,2,201.88953923404452,7.544378528656973,344.7323281371903
18.jpeg,3,189.72030811420586,5.067979469632165,146.18565897469833
2.jpeg,1,221.44010726263775,5.989430282292559,238.31345662298628
2.jpeg,2,210.06885851131312,4.146528656971771,108.35582736683388
2.jpeg,3,210.06885851131312,7.2564251497006,331.8397213109288
3.jpeg,1,214.85675272239718,6.853290419161677,302.739113342216
3.jpeg,2,234.60681634311894,7.601969204448247,406.7373855384351
4.jpeg,1,237.00076344866096,8.00510393498717,455.62227655311375
4.jpeg,2,235.20530311950444,6.2773836612489315,278.0517991384426
4.jpeg,3,238.59672818568896,6.968471770744227,347.58484201140965
5.jpeg,1,207.07642462938557,6.565337040205304,267.77249471909136
5.jpeg,2,211.46532765621262,5.874248930710009,218.90975622266996
5.jpeg,3,217.0512042358107,5.759067579127461,215.96720308069553
5.jpeg,4,206.87692903725707,6.910881094952952,296.4149862282546
6.jpeg,1,217.4501954200677,6.968471770744227,316.7788275856493
6.jpeg,2,210.86684087982712,6.2773836612489315,249.2796876075775
7.jpeg,1,227.42497502649283,7.429197177074424,376.5677994642531
7.jpeg,2,222.23808963115178,7.0260624465355015,329.1271891201767
7.jpeg,3,228.82144417139236,5.471114200171087,205.47999052852558
8.jpeg,1,228.22295739500683,7.659559880239522,401.6874053728694
8.jpeg,2,178.74805054713823,5.528704875962362,163.91148476637446
9.jpeg,1,214.45776153814018,7.141243798118051,328.1034092979258
